category,metric,value,dataset,claim_or_note
evaluation,api_top1_all,0.867857,real_eval_fixture_280,"长文夹具整体，不是外部行业泛化"
evaluation,api_top1_test,0.714286,real_eval_fixture_test_49,"按文档组留出"
evaluation,api_error_link_all,0.010714,real_eval_fixture_280,"错误关联率"
evaluation,api_error_link_test,0.040816,real_eval_fixture_test_49,"错误关联率"
evaluation,api_top1_seed,0.600000,seed_180,"sanity集"
evaluation,api_error_link_seed,0.333333,seed_180,"sanity集"
evaluation,api_ambiguity_abstain_seed,0,seed_180,"应转人工但未拒答"
evaluation,api_prompt_injection_seed,0,seed_180,"对抗样本劫持率"
evaluation,local_reranker_top1,0.400000,seed_180,"保守安全基线"
evaluation,local_reranker_error_link,0,seed_180,"保守安全基线"
evaluation,local_reranker_ambiguity_abstain,1.000000,seed_180,"拒答率"
evaluation,local_reranker_false_abstain,0.600000,seed_180,"误拒率"
evaluation,link_rules_remembered_seed,30,seed_180,"只作为规则候选记忆偏好"
evaluation,link_rules_remembered_real,53,real_eval_fixture_280,"只作为规则候选记忆偏好"
evaluation,link_rules_override,0,all,"生产实现不允许link_rules覆盖规则候选"
performance,fact_read_seconds_1999,0.117899,local_machine,"事实表读取中位耗时"
performance,candidate_mean_seed,1.667,seed_180,"规则收紧后候选pair"
performance,candidate_p95_seed,3,seed_180,"规则收紧后候选pair"
performance,candidate_mean_real,1.0,real_eval_fixture_280,"规则收紧后候选pair"
performance,candidate_p95_real,2,real_eval_fixture_280,"规则收紧后候选pair"
long_document,claims_total,280,long_word_fixture,"24章约1.7万字"
long_document,scenario_a_repaired,80,long_word_fixture,"125→123"
long_document,scenario_a_unchanged,200,long_word_fixture,"125→123"
long_document,scenario_b_repaired,232,long_word_fixture,"多字段变化"
long_document,scenario_b_unchanged,48,long_word_fixture,"多字段变化"
runtime,cpu_avg_ms,363,seed_180,"本地reranker，逐条评测"
runtime,cpu_p95_ms,656,seed_180,"本地reranker，逐条评测"
runtime,cuda_avg_ms,636.14,seed_180,"当前INT8 ONNX，含CPU回退"
runtime,cuda_p95_ms,842.04,seed_180,"当前INT8 ONNX，含CPU回退"
deployment,reranker_weight_mb,570,local_model,"bge-reranker-v2-m3 ONNX INT8约值"
evaluation,pdf_external_bert_top1,0.413194,external_programmatic_holdout_all_576,"36份公开年报、程序化标签，不是人工真值"
evaluation,pdf_external_bge_top1,0.961806,external_programmatic_holdout_all_576,"36份公开年报、程序化标签，不是人工真值"
evaluation,pdf_external_claims,576,external_programmatic_holdout_all_576,"36个文档组"
evaluation,engine_true_top1_all,1.000000,consistency_280,"产品真实路径 office.read_document->engine.extract_claims；封闭夹具自洽性，非泛化"
evaluation,engine_true_top1_dev,1.000000,consistency_280_dev231,"同上"
evaluation,engine_true_top1_test,1.000000,consistency_280_test49,"同上，按文档组留出"
evaluation,engine_true_error_link,0,consistency_280,"同上"
evaluation,baseline_script_top1,0.657143,consistency_280,"⚠️ run_rule_baseline.py 脚本分数，非产品路径；threshold 单项 0/96"
