claim_id,group_id,split,kind,claim_text,source_file,source_location,candidate_refs,consensus_refs,gold_action,category,numeric_conflict_note,reviewer_decision,reviewer_refs,reviewer_category,reviewer_note
lw-004-01,longword-01,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 4]",sales_current,sales_current,link,ordinary,否,,,,
lw-004-02,longword-01,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 4]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-004-03,longword-01,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 4]",sales_current,sales_current,link,ordinary,否,,,,
lw-006-01,longword-01,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 6]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-006-02,longword-01,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 6]",sales_current,sales_current,link,ordinary,否,,,,
lw-007-01,longword-01,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 7]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-007-02,longword-01,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 7]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-008-01,longword-01,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 8]",spending,spending,link,ordinary,是,,,,
lw-008-02,longword-01,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 8]",budget,budget,link,ordinary,否,,,,
lw-010-01,longword-01,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 10]",sales_current,sales_current,link,ordinary,否,,,,
lw-010-02,longword-01,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 10]",spending,spending,link,ordinary,是,,,,
