claim_id,group_id,split,category,kind,candidate_count,candidate_ids,pair_count,gold_count
g001_c01,g001,dev,ordinary,quote,1,['g001_sales_current'],1,1
g001_c02,g001,dev,ordinary,growth,2,"['g001_sales_previous', 'g001_sales_current']",2,2
g001_c03,g001,dev,ordinary,threshold,2,"['g001_budget_current', 'g001_expense_current']",2,2
g001_c04,g001,dev,ordinary,rank,1,['g001_product_a'],1,3
g001_c05,g001,dev,ambiguous,quote,3,"['g001_sales_current', 'g001_sales_scope_a', 'g001_sales_scope_b']",3,0
g001_c06,g001,dev,adversarial,quote,1,['g001_sales_current'],1,1
g002_c01,g002,dev,ordinary,quote,1,['g002_sales_current'],1,1
g002_c02,g002,dev,ordinary,growth,2,"['g002_sales_previous', 'g002_sales_current']",2,2
g002_c03,g002,dev,ordinary,threshold,2,"['g002_budget_current', 'g002_expense_current']",2,2
g002_c04,g002,dev,ordinary,rank,1,['g002_product_a'],1,3
g002_c05,g002,dev,ambiguous,quote,3,"['g002_sales_current', 'g002_sales_scope_a', 'g002_sales_scope_b']",3,0
g002_c06,g002,dev,adversarial,quote,1,['g002_sales_current'],1,1
g003_c01,g003,dev,ordinary,quote,1,['g003_sales_current'],1,1
g003_c02,g003,dev,ordinary,growth,2,"['g003_sales_previous', 'g003_sales_current']",2,2
g003_c03,g003,dev,ordinary,threshold,2,"['g003_budget_current', 'g003_expense_current']",2,2
g003_c04,g003,dev,ordinary,rank,1,['g003_product_a'],1,3
g003_c05,g003,dev,ambiguous,quote,3,"['g003_sales_current', 'g003_sales_scope_a', 'g003_sales_scope_b']",3,0
g003_c06,g003,dev,adversarial,quote,1,['g003_sales_current'],1,1
g004_c01,g004,dev,ordinary,quote,1,['g004_sales_current'],1,1
g004_c02,g004,dev,ordinary,growth,2,"['g004_sales_previous', 'g004_sales_current']",2,2
g004_c03,g004,dev,ordinary,threshold,2,"['g004_budget_current', 'g004_expense_current']",2,2
g004_c04,g004,dev,ordinary,rank,1,['g004_product_a'],1,3
g004_c05,g004,dev,ambiguous,quote,3,"['g004_sales_current', 'g004_sales_scope_a', 'g004_sales_scope_b']",3,0
g004_c06,g004,dev,adversarial,quote,1,['g004_sales_current'],1,1
g005_c01,g005,dev,ordinary,quote,1,['g005_sales_current'],1,1
g005_c02,g005,dev,ordinary,growth,2,"['g005_sales_previous', 'g005_sales_current']",2,2
g005_c03,g005,dev,ordinary,threshold,2,"['g005_budget_current', 'g005_expense_current']",2,2
g005_c04,g005,dev,ordinary,rank,1,['g005_product_a'],1,3
g005_c05,g005,dev,ambiguous,quote,3,"['g005_sales_current', 'g005_sales_scope_a', 'g005_sales_scope_b']",3,0
g005_c06,g005,dev,adversarial,quote,1,['g005_sales_current'],1,1
g006_c01,g006,dev,ordinary,quote,1,['g006_sales_current'],1,1
g006_c02,g006,dev,ordinary,growth,2,"['g006_sales_previous', 'g006_sales_current']",2,2
g006_c03,g006,dev,ordinary,threshold,2,"['g006_budget_current', 'g006_expense_current']",2,2
g006_c04,g006,dev,ordinary,rank,1,['g006_product_a'],1,3
g006_c05,g006,dev,ambiguous,quote,3,"['g006_sales_current', 'g006_sales_scope_a', 'g006_sales_scope_b']",3,0
g006_c06,g006,dev,adversarial,quote,1,['g006_sales_current'],1,1
g007_c01,g007,dev,ordinary,quote,1,['g007_sales_current'],1,1
g007_c02,g007,dev,ordinary,growth,2,"['g007_sales_previous', 'g007_sales_current']",2,2
g007_c03,g007,dev,ordinary,threshold,2,"['g007_budget_current', 'g007_expense_current']",2,2
g007_c04,g007,dev,ordinary,rank,1,['g007_product_a'],1,3
g007_c05,g007,dev,ambiguous,quote,3,"['g007_sales_current', 'g007_sales_scope_a', 'g007_sales_scope_b']",3,0
g007_c06,g007,dev,adversarial,quote,1,['g007_sales_current'],1,1
g008_c01,g008,dev,ordinary,quote,1,['g008_sales_current'],1,1
g008_c02,g008,dev,ordinary,growth,2,"['g008_sales_previous', 'g008_sales_current']",2,2
g008_c03,g008,dev,ordinary,threshold,2,"['g008_budget_current', 'g008_expense_current']",2,2
g008_c04,g008,dev,ordinary,rank,1,['g008_product_a'],1,3
g008_c05,g008,dev,ambiguous,quote,3,"['g008_sales_current', 'g008_sales_scope_a', 'g008_sales_scope_b']",3,0
g008_c06,g008,dev,adversarial,quote,1,['g008_sales_current'],1,1
g009_c01,g009,dev,ordinary,quote,1,['g009_sales_current'],1,1
g009_c02,g009,dev,ordinary,growth,2,"['g009_sales_previous', 'g009_sales_current']",2,2
g009_c03,g009,dev,ordinary,threshold,2,"['g009_budget_current', 'g009_expense_current']",2,2
g009_c04,g009,dev,ordinary,rank,1,['g009_product_a'],1,3
g009_c05,g009,dev,ambiguous,quote,3,"['g009_sales_current', 'g009_sales_scope_a', 'g009_sales_scope_b']",3,0
g009_c06,g009,dev,adversarial,quote,1,['g009_sales_current'],1,1
g010_c01,g010,dev,ordinary,quote,1,['g010_sales_current'],1,1
g010_c02,g010,dev,ordinary,growth,2,"['g010_sales_previous', 'g010_sales_current']",2,2
g010_c03,g010,dev,ordinary,threshold,2,"['g010_budget_current', 'g010_expense_current']",2,2
g010_c04,g010,dev,ordinary,rank,1,['g010_product_a'],1,3
g010_c05,g010,dev,ambiguous,quote,3,"['g010_sales_current', 'g010_sales_scope_a', 'g010_sales_scope_b']",3,0
g010_c06,g010,dev,adversarial,quote,1,['g010_sales_current'],1,1
g011_c01,g011,dev,ordinary,quote,1,['g011_sales_current'],1,1
g011_c02,g011,dev,ordinary,growth,2,"['g011_sales_previous', 'g011_sales_current']",2,2
g011_c03,g011,dev,ordinary,threshold,2,"['g011_budget_current', 'g011_expense_current']",2,2
g011_c04,g011,dev,ordinary,rank,1,['g011_product_a'],1,3
g011_c05,g011,dev,ambiguous,quote,3,"['g011_sales_current', 'g011_sales_scope_a', 'g011_sales_scope_b']",3,0
g011_c06,g011,dev,adversarial,quote,1,['g011_sales_current'],1,1
g012_c01,g012,dev,ordinary,quote,1,['g012_sales_current'],1,1
g012_c02,g012,dev,ordinary,growth,2,"['g012_sales_previous', 'g012_sales_current']",2,2
g012_c03,g012,dev,ordinary,threshold,2,"['g012_budget_current', 'g012_expense_current']",2,2
g012_c04,g012,dev,ordinary,rank,1,['g012_product_a'],1,3
g012_c05,g012,dev,ambiguous,quote,3,"['g012_sales_current', 'g012_sales_scope_a', 'g012_sales_scope_b']",3,0
g012_c06,g012,dev,adversarial,quote,1,['g012_sales_current'],1,1
g013_c01,g013,dev,ordinary,quote,1,['g013_sales_current'],1,1
g013_c02,g013,dev,ordinary,growth,2,"['g013_sales_previous', 'g013_sales_current']",2,2
g013_c03,g013,dev,ordinary,threshold,2,"['g013_budget_current', 'g013_expense_current']",2,2
g013_c04,g013,dev,ordinary,rank,1,['g013_product_a'],1,3
g013_c05,g013,dev,ambiguous,quote,3,"['g013_sales_current', 'g013_sales_scope_a', 'g013_sales_scope_b']",3,0
g013_c06,g013,dev,adversarial,quote,1,['g013_sales_current'],1,1
g014_c01,g014,dev,ordinary,quote,1,['g014_sales_current'],1,1
g014_c02,g014,dev,ordinary,growth,2,"['g014_sales_previous', 'g014_sales_current']",2,2
g014_c03,g014,dev,ordinary,threshold,2,"['g014_budget_current', 'g014_expense_current']",2,2
g014_c04,g014,dev,ordinary,rank,1,['g014_product_a'],1,3
g014_c05,g014,dev,ambiguous,quote,3,"['g014_sales_current', 'g014_sales_scope_a', 'g014_sales_scope_b']",3,0
g014_c06,g014,dev,adversarial,quote,1,['g014_sales_current'],1,1
g015_c01,g015,dev,ordinary,quote,1,['g015_sales_current'],1,1
g015_c02,g015,dev,ordinary,growth,2,"['g015_sales_previous', 'g015_sales_current']",2,2
g015_c03,g015,dev,ordinary,threshold,2,"['g015_budget_current', 'g015_expense_current']",2,2
g015_c04,g015,dev,ordinary,rank,1,['g015_product_a'],1,3
g015_c05,g015,dev,ambiguous,quote,3,"['g015_sales_current', 'g015_sales_scope_a', 'g015_sales_scope_b']",3,0
g015_c06,g015,dev,adversarial,quote,1,['g015_sales_current'],1,1
g016_c01,g016,dev,ordinary,quote,1,['g016_sales_current'],1,1
g016_c02,g016,dev,ordinary,growth,2,"['g016_sales_previous', 'g016_sales_current']",2,2
