claim_id,group_id,split,category,kind,candidate_count,candidate_ids,pair_count,gold_count
lw-004-01,longword-01,dev,ordinary,quote,1,['sales_current'],1,1
lw-004-02,longword-01,dev,ordinary,growth,0,[],0,2
lw-004-03,longword-01,dev,ordinary,threshold,0,[],0,1
lw-006-01,longword-01,dev,ordinary,growth,2,"['sales_prev', 'sales_current']",2,2
lw-006-02,longword-01,dev,ordinary,threshold,1,['sales_current'],1,1
lw-007-01,longword-01,dev,ordinary,ranking,1,['product_a'],1,2
lw-007-02,longword-01,dev,ordinary,threshold,2,"['spending', 'budget']",2,2
lw-008-01,longword-01,dev,ordinary,quote,1,['spending'],1,1
lw-008-02,longword-01,dev,ordinary,quote,1,['budget'],1,1
lw-010-01,longword-01,dev,ordinary,quote,1,['sales_current'],1,1
lw-010-02,longword-01,dev,ordinary,threshold,1,['spending'],1,1
lw-016-01,longword-02,dev,ordinary,quote,1,['sales_current'],1,1
lw-016-02,longword-02,dev,ordinary,growth,0,[],0,2
lw-016-03,longword-02,dev,ordinary,threshold,0,[],0,1
lw-018-01,longword-02,dev,ordinary,growth,2,"['sales_prev', 'sales_current']",2,2
lw-018-02,longword-02,dev,ordinary,threshold,1,['sales_current'],1,1
lw-019-01,longword-02,dev,ordinary,ranking,1,['product_a'],1,2
lw-019-02,longword-02,dev,ordinary,threshold,2,"['spending', 'budget']",2,2
lw-020-01,longword-02,dev,ordinary,quote,1,['spending'],1,1
lw-020-02,longword-02,dev,ordinary,quote,1,['budget'],1,1
lw-022-01,longword-02,dev,ordinary,quote,1,['sales_current'],1,1
lw-022-02,longword-02,dev,ordinary,threshold,1,['spending'],1,1
lw-028-01,longword-03,dev,ordinary,quote,1,['sales_current'],1,1
lw-028-02,longword-03,dev,ordinary,growth,0,[],0,2
lw-028-03,longword-03,dev,ordinary,threshold,0,[],0,1
lw-030-01,longword-03,dev,ordinary,growth,2,"['sales_prev', 'sales_current']",2,2
lw-030-02,longword-03,dev,ordinary,threshold,1,['sales_current'],1,1
lw-031-01,longword-03,dev,ordinary,ranking,1,['product_a'],1,2
lw-031-02,longword-03,dev,ordinary,threshold,2,"['spending', 'budget']",2,2
lw-032-01,longword-03,dev,ordinary,quote,1,['spending'],1,1
lw-032-02,longword-03,dev,ordinary,quote,1,['budget'],1,1
lw-034-01,longword-03,dev,ordinary,quote,1,['sales_current'],1,1
lw-034-02,longword-03,dev,ordinary,threshold,1,['spending'],1,1
lw-040-01,longword-03,dev,ordinary,quote,1,['sales_current'],1,1
lw-040-02,longword-03,dev,ordinary,growth,0,[],0,2
lw-040-03,longword-03,dev,ordinary,threshold,0,[],0,1
lw-042-01,longword-04,dev,ordinary,growth,2,"['sales_prev', 'sales_current']",2,2
lw-042-02,longword-04,dev,ordinary,threshold,1,['sales_current'],1,1
lw-043-01,longword-04,dev,ordinary,ranking,1,['product_a'],1,2
lw-043-02,longword-04,dev,ordinary,threshold,2,"['spending', 'budget']",2,2
lw-044-01,longword-04,dev,ordinary,quote,1,['spending'],1,1
lw-044-02,longword-04,dev,ordinary,quote,1,['budget'],1,1
lw-046-01,longword-04,dev,ordinary,quote,1,['sales_current'],1,1
lw-046-02,longword-04,dev,ordinary,threshold,1,['spending'],1,1
lw-052-01,longword-04,dev,ordinary,quote,1,['sales_current'],1,1
lw-052-02,longword-04,dev,ordinary,growth,0,[],0,2
lw-052-03,longword-04,dev,ordinary,threshold,0,[],0,1
lw-054-01,longword-04,dev,ordinary,growth,2,"['sales_prev', 'sales_current']",2,2
lw-054-02,longword-04,dev,ordinary,threshold,1,['sales_current'],1,1
lw-055-01,longword-04,dev,ordinary,ranking,1,['product_a'],1,2
lw-055-02,longword-04,dev,ordinary,threshold,2,"['spending', 'budget']",2,2
lw-056-01,longword-05,dev,ordinary,quote,1,['spending'],1,1
lw-056-02,longword-05,dev,ordinary,quote,1,['budget'],1,1
lw-058-01,longword-05,dev,ordinary,quote,1,['sales_current'],1,1
lw-058-02,longword-05,dev,ordinary,threshold,1,['spending'],1,1
lw-064-01,longword-05,dev,ordinary,quote,1,['sales_current'],1,1
lw-064-02,longword-05,dev,ordinary,growth,0,[],0,2
lw-064-03,longword-05,dev,ordinary,threshold,0,[],0,1
lw-066-01,longword-05,dev,ordinary,growth,2,"['sales_prev', 'sales_current']",2,2
lw-066-02,longword-05,dev,ordinary,threshold,1,['sales_current'],1,1
lw-067-01,longword-05,dev,ordinary,ranking,1,['product_a'],1,2
lw-067-02,longword-05,dev,ordinary,threshold,2,"['spending', 'budget']",2,2
lw-068-01,longword-05,dev,ordinary,quote,1,['spending'],1,1
lw-068-02,longword-05,dev,ordinary,quote,1,['budget'],1,1
lw-070-01,longword-06,dev,ordinary,quote,1,['sales_current'],1,1
lw-070-02,longword-06,dev,ordinary,threshold,1,['spending'],1,1
lw-076-01,longword-06,dev,ordinary,quote,1,['sales_current'],1,1
lw-076-02,longword-06,dev,ordinary,growth,0,[],0,2
lw-076-03,longword-06,dev,ordinary,threshold,0,[],0,1
lw-078-01,longword-06,dev,ordinary,growth,2,"['sales_prev', 'sales_current']",2,2
lw-078-02,longword-06,dev,ordinary,threshold,1,['sales_current'],1,1
lw-079-01,longword-06,dev,ordinary,ranking,1,['product_a'],1,2
lw-079-02,longword-06,dev,ordinary,threshold,2,"['spending', 'budget']",2,2
lw-080-01,longword-06,dev,ordinary,quote,1,['spending'],1,1
lw-080-02,longword-06,dev,ordinary,quote,1,['budget'],1,1
lw-082-01,longword-06,dev,ordinary,quote,1,['sales_current'],1,1
