source,split,source_id,group_id,claim_text,fact_id,fact_text,label,manual_label,manual_note
TAT-QA,train,861fbad6-2ef5-47aa-bc22-1a3223ee1e4b,TAT-QA:861fbad6-2ef5-47aa-bc22-1a3223ee1e4b,"What is the net income in the fiscal year ended March 31, 2018?",r2c2,"subject=Net income；metric=Net income；period=Fiscal Year Ended March 31,；unit=；scope=TAT-QA",1,1,"与官方 gold 一致；claim 与 fact 词元重合 {31, ended, fiscal, income, march, net}"
TAT-QA,train,84bfc711-4391-4ad5-aeb1-6a9e8808e316,TAT-QA:84bfc711-4391-4ad5-aeb1-6a9e8808e316,What are the years included in the table?,r1c4,subject=；metric=；period=；unit=；scope=TAT-QA,1,0,"冲突：同一 fact_id r1c4 在同组内也被标为负例；元数据缺字段：subject, metric, period"
TAT-QA,train,ff5eb27e-0302-4c31-8641-46bc9bf6738e,TAT-QA:ff5eb27e-0302-4c31-8641-46bc9bf6738e,"What are the respective other revenue in 2017, 2018 and 2019?",r4c1,subject=Other；metric=Other；period=；unit=thousand；scope=TAT-QA,1,1,与官方 gold 一致；claim 与 fact 词元重合 {other}；元数据缺字段：period
TAT-QA,train,4b999f4a-ed44-4283-b46d-0c4d1cbf194a,TAT-QA:4b999f4a-ed44-4283-b46d-0c4d1cbf194a,What was the Lease commitment in 2021?,r4c1,subject=2021；metric=2021；period=Lease Commitment；unit=thousand；scope=TAT-QA,1,1,"与官方 gold 一致；claim 与 fact 词元重合 {2021, commitment, lease}"
TAT-QA,train,87f701c5-ad4b-455e-9839-a87ce744df64,TAT-QA:87f701c5-ad4b-455e-9839-a87ce744df64,What is the annual base salary of Mr. Murphy in 2017 and 2018 respectively?,r7c2,"subject=Mr. Murphy (3)；metric=Mr. Murphy (3)；period=Annual Base Salary as of December 31, 2018；unit=；scope=TAT-QA",1,1,"与官方 gold 一致；claim 与 fact 词元重合 {2018, annual, base, mr, murphy, salary}"
TAT-QA,train,a10921c3-2206-4e1e-add7-4e5ff85b1d7f,TAT-QA:a10921c3-2206-4e1e-add7-4e5ff85b1d7f,What are the respective number of shares purchased in October and November 2019?,r1c1,"subject=October 1, 2019 - October 31, 2019；metric=October 1, 2019 - October 31, 2019；period=Total Number of Shares Purchased (1) (2)；unit=thousand；scope=TAT-QA",1,1,"与官方 gold 一致；claim 与 fact 词元重合 {2019, number, october, purchased, shares}"
TAT-QA,train,705438bd-2579-4b02-961b-eb2bef3fae1d,TAT-QA:705438bd-2579-4b02-961b-eb2bef3fae1d,What is the net sales of hardware in 2019 and 2018 respectively?,r2c2,subject=Hardware；metric=Hardware；period=；unit=thousand；scope=TAT-QA,1,1,与官方 gold 一致；claim 与 fact 词元重合 {hardware}；元数据缺字段：period
TAT-QA,train,89665c22-afef-4c45-b297-d2928a00b959,TAT-QA:89665c22-afef-4c45-b297-d2928a00b959,"What was the total operating income/loss from 2017 to 2019, respectively?",r12c3,subject=Total operating income (loss)；metric=Total operating income (loss)；period=；unit=；scope=TAT-QA,1,1,"与官方 gold 一致；claim 与 fact 词元重合 {income, loss, operating, total}；元数据缺字段：period"
TAT-QA,train,1fe3e1d6-7532-44e1-aa5d-cdbe604583bd,TAT-QA:1fe3e1d6-7532-44e1-aa5d-cdbe604583bd,How many shareholders have outstanding shares in the suspense account?,r5c1,"subject=Aggregate number of shareholders and the outstanding shares in the suspense account lying as on March 31, 2019；metric=Aggregate number of shareholders and the outstanding shares in the suspense account lying as on March 31, 2019；period=Number of shareholders；unit=；scope=TAT-QA",1,1,"与官方 gold 一致；claim 与 fact 词元重合 {account, outstanding, shareholders, shares, suspense}"
TAT-QA,train,3e0dfd8b-315f-4e8f-b349-3f6ad103f611,TAT-QA:3e0dfd8b-315f-4e8f-b349-3f6ad103f611,What is the useful life of land?,r4c1,subject=Land；metric=Land；period=Estimated Useful Lives；unit=；scope=TAT-QA,1,1,"与官方 gold 一致；claim 与 fact 词元重合 {land, useful}"
TAT-QA,train,d22dec82-2e7b-4422-bef4-a07dfe89ef8b,TAT-QA:d22dec82-2e7b-4422-bef4-a07dfe89ef8b,"What is the size of the Long Island, NY and Garden Grove, CA facilities respectively in sq ft?",r1c1,"subject=Long Island, NY；metric=Long Island, NY；period=Size (sq. ft.)；unit=；scope=TAT-QA",1,1,"与官方 gold 一致；claim 与 fact 词元重合 {ft, island, long, ny, size, sq}"
TAT-QA,train,61c55dc6-06c8-4968-8adb-90a467875fe0,TAT-QA:61c55dc6-06c8-4968-8adb-90a467875fe0,"How many of Garo H. Armen's options would expire on October 16, 2027?",r2c1,subject=Garo H. Armen (2)；metric=Garo H. Armen (2)；period=No. of Securities Underlying Unexercised Options (#) Exercisable No. of Securities Underlying Unexercised；unit=；scope=TAT-QA,1,1,"与官方 gold 一致；claim 与 fact 词元重合 {armen, garo, options}"
TAT-QA,train,73918ba9-6dc8-4064-ab40-9adcf16b4b3d,TAT-QA:73918ba9-6dc8-4064-ab40-9adcf16b4b3d,Which years does the table provide information for the company's Selected Consolidated Balance Sheet Data?,r1c1,subject=Selected Consolidated Balance Sheet Data:；metric=Selected Consolidated Balance Sheet Data:；period=；unit=；scope=TAT-QA,1,1,"与官方 gold 一致；claim 与 fact 词元重合 {balance, consolidated, data, selected, sheet}；元数据缺字段：period"
TAT-QA,train,2d13b7a3-848c-4d57-ba40-a55e6bb60864,TAT-QA:2d13b7a3-848c-4d57-ba40-a55e6bb60864,What are the respective share-based compensation for cost of revenues in 2018 and 2019?,r2c1,subject=Cost of revenues；metric=Cost of revenues；period=；unit=thousand；scope=TAT-QA,1,1,"与官方 gold 一致；claim 与 fact 词元重合 {cost, revenues}；元数据缺字段：period"
TAT-QA,train,58567520-c343-43fd-b803-bc078bb77c87,TAT-QA:58567520-c343-43fd-b803-bc078bb77c87,What was the amount of non-current assets in APJ in 2019?,r7c1,subject=APJ；metric=APJ；period=2019；unit=；scope=TAT-QA,1,1,"与官方 gold 一致；claim 与 fact 词元重合 {2019, apj}"
TAT-QA,train,5bb10fbf-231f-4266-8727-ace9ff7492c8,TAT-QA:5bb10fbf-231f-4266-8727-ace9ff7492c8,"What are the respective expected volatility of ESPP rights for the year ended December 31, 2018 and 2017?",r3c3,subject=Expected volatility；metric=Expected volatility；period=；unit=；scope=TAT-QA,1,1,"与官方 gold 一致；claim 与 fact 词元重合 {expected, volatility}；元数据缺字段：period"
